Gene	CC_1	CC_2	CC_3	CI_1	CI_2	CI_3	SC_1	SC_2	SI_1	SI_2	SI_3	Symbol	Chromosome	Genetype	Description
ENSMUSG00000036136.8	0.02	0.03	0.0	0.0	0.08	0.17	0.0	0.01	0.37	0.01	0.0	Fam110c	chr12	protein_coding	family with sequence similarity 110, member C
ENSMUSG00000038537.1	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mc3r	chr2	protein_coding	melanocortin 3 receptor
ENSMUSG00000022867.9	9.85	13.69	12.42	13.86	12.57	12.63	13.9	11.77	13.56	12.86	13.18	Usp25	chr16	protein_coding	ubiquitin specific peptidase 25
ENSMUSG00000075229.8	10.18	7.18	8.3	9.61	6.64	7.27	8.58	6.36	6.38	6.3	8.58	Ccdc58	chr16	protein_coding	coiled-coil domain containing 58
ENSMUSG00000104966.1	0.0	0.0	0.0	0.04	0.0	0.01	0.02	0.0	0.0	0.0	0.0	RP24-292F8.3	chr5	TEC	--
ENSMUSG00000035372.1	2.28	3.17	2.81	2.8	4.89	4.42	2.0	2.1	5.05	5.4	4.66	1810055G02Rik	chr19	protein_coding	RIKEN cDNA 1810055G02 gene
ENSMUSG00000099568.1	0.0	0.07	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	Gm28513	chr1	antisense	predicted gene 28513
ENSMUSG00000031613.8	2.72	6.24	6.3	3.12	5.68	5.16	3.53	6.4	3.34	6.24	3.75	Hpgd	chr8	protein_coding	hydroxyprostaglandin dehydrogenase 15 (NAD)
ENSMUSG00000107182.1	0.12	0.09	0.14	0.11	0.02	0.07	0.18	0.07	0.13	0.13	0.16	RP24-196M24.2	chr5	TEC	--
ENSMUSG00000037475.13	3.16	3.38	3.21	3.28	2.68	2.93	3.28	3.57	3.35	3.65	2.7	Thoc2	chrX	protein_coding	THO complex 2
ENSMUSG00000097650.1	0.03	0.1	0.06	0.03	0.0	0.0	0.08	0.0	0.0	0.0	0.0	4921507G05Rik	chr12	lincRNA	RIKEN cDNA 4921507G05 gene
ENSMUSG00000087440.2	0.64	0.62	0.59	1.39	0.83	0.77	1.21	0.47	1.25	0.69	0.69	4930577N17Rik	chr3	TEC	RIKEN cDNA 4930577N17 gene
ENSMUSG00000100241.1	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	Slc18a3	chr14	protein_coding	solute carrier family 18 (vesicular monoamine), member 3
ENSMUSG00000028266.15	13.71	15.08	14.96	15.77	13.58	13.69	18.45	16.53	20.31	13.59	15.51	Lmo4	chr3	protein_coding	LIM domain only 4
ENSMUSG00000086237.1	0.08	0.0	0.16	0.0	0.07	0.0	0.07	0.06	0.07	0.0	0.0	Gm15591	chr16	antisense	predicted gene 15591
ENSMUSG00000021090.13	0.0	0.02	0.03	0.01	0.0	0.02	0.02	0.02	0.02	0.02	0.01	Lrrc9	chr12	protein_coding	leucine rich repeat containing 9
ENSMUSG00000053390.13	1.81	1.94	1.91	1.16	0.84	1.47	1.71	1.91	0.59	1.05	1.16	Zfp952	chr17	protein_coding	zinc finger protein 952
ENSMUSG00000047767.14	3.03	2.23	2.72	1.88	2.48	2.41	2.05	3.67	1.7	2.38	2.79	Atg16l2	chr7	protein_coding	autophagy related 16-like 2 (S. cerevisiae)
ENSMUSG00000036872.14	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.0	Abcc12	chr8	protein_coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 12
ENSMUSG00000081512.1	0.33	0.03	0.04	0.08	0.1	0.12	0.28	0.16	0.0	0.03	0.07	Gm15821	chr17	protein_coding	predicted gene 15821
ENSMUSG00000033488.9	4.59	3.81	3.67	5.01	4.53	3.49	5.24	4.07	5.74	4.81	3.18	BC026585	chr1	protein_coding	cDNA sequence BC026585
ENSMUSG00000024268.13	0.27	0.09	0.1	0.06	0.16	0.05	0.11	0.17	0.06	0.12	0.05	Celf4	chr18	protein_coding	CUGBP, Elav-like family member 4
ENSMUSG00000103771.1	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm36934	chr1	processed_pseudogene	predicted gene, 36934
ENSMUSG00000030286.5	22.56	27.91	25.68	24.08	26.33	27.0	29.17	24.89	26.35	25.69	27.91	Emc3	chr6	protein_coding	ER membrane protein complex subunit 3
ENSMUSG00000081123.1	0.6	0.59	0.92	0.84	0.5	0.37	0.34	1.39	1.0	2.49	0.41	Gm11469	chr2	processed_pseudogene	predicted gene 11469
ENSMUSG00000017754.11	11.58	15.31	11.38	9.08	12.66	12.07	13.21	11.5	11.79	13.41	14.31	Pltp	chr2	protein_coding	phospholipid transfer protein
ENSMUSG00000097953.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	Gm26952	chrX	antisense	predicted gene, 26952
ENSMUSG00000083097.3	1.36	1.74	1.87	1.59	1.04	1.1	1.87	2.12	1.62	1.46	1.3	Gm14494	chr2	processed_pseudogene	predicted gene 14494
ENSMUSG00000049470.11	4.95	6.61	6.19	5.85	6.38	6.02	6.95	6.34	6.76	6.87	5.81	Aff4	chr11	protein_coding	AF4/FMR2 family, member 4
ENSMUSG00000054321.6	0.38	0.5	0.63	0.64	0.55	0.52	0.51	0.55	0.68	0.71	0.74	Taf4b	chr18	protein_coding	TAF4B RNA polymerase II, TATA box binding protein (TBP)-associated factor
ENSMUSG00000003518.11	15.9	18.86	16.98	14.34	14.43	14.82	15.97	13.91	16.78	14.7	19.23	Dusp3	chr11	protein_coding	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
ENSMUSG00000032026.6	37.84	36.78	36.5	36.68	30.86	37.13	40.53	31.79	42.28	33.59	39.12	Rexo2	chr9	protein_coding	REX2, RNA exonuclease 2 homolog (S. cerevisiae)
ENSMUSG00000045251.11	2.04	1.99	1.85	0.96	1.33	1.82	0.97	1.28	1.3	0.87	1.67	Zfp688	chr7	protein_coding	zinc finger protein 688
ENSMUSG00000023945.6	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	Slc5a7	chr17	protein_coding	solute carrier family 5 (choline transporter), member 7
ENSMUSG00000081965.1	0.05	0.0	0.03	0.1	0.02	0.02	0.02	0.02	0.11	0.04	0.02	Gm11620	chr11	processed_pseudogene	predicted gene 11620
ENSMUSG00000032495.6	68.77	67.7	71.51	60.21	65.92	68.35	70.19	75.23	72.74	57.63	72.13	Lrrc2	chr9	protein_coding	leucine rich repeat containing 2
ENSMUSG00000031841.16	34.45	35.63	30.56	35.52	32.34	31.79	36.87	31.61	39.55	34.59	34.17	Cdh13	chr8	protein_coding	cadherin 13
ENSMUSG00000042688.14	3.22	4.85	5.44	6.33	7.53	6.56	6.13	4.29	7.4	8.02	7.54	Mapk6	chr9	protein_coding	mitogen-activated protein kinase 6
ENSMUSG00000085564.1	0.05	0.05	0.0	0.0	0.0	0.06	0.02	0.02	0.05	0.0	0.02	Gm12198	chr11	processed_transcript	predicted gene 12198
ENSMUSG00000032451.6	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Trim42	chr9	protein_coding	tripartite motif-containing 42
ENSMUSG00000044141.8	0.17	0.1	0.24	0.33	0.14	0.13	0.25	0.09	0.15	0.12	0.05	E130201H02Rik	chr7	processed_pseudogene	RIKEN cDNA E130201H02 gene
ENSMUSG00000083956.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	Gm12361	chr4	processed_pseudogene	predicted gene 12361
ENSMUSG00000040029.12	3.69	4.65	4.73	3.68	3.54	3.71	4.54	4.53	3.26	3.49	4.24	Ipo8	chr6	protein_coding	importin 8
ENSMUSG00000040613.12	1.94	2.63	2.6	1.77	2.68	2.45	1.81	2.33	2.52	2.46	1.94	Apobec1	chr6	protein_coding	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
ENSMUSG00000022856.8	7.91	8.82	6.62	9.68	5.2	6.28	9.12	9.99	6.69	6.72	6.34	Tmem41a	chr16	protein_coding	transmembrane protein 41a
ENSMUSG00000027080.6	5.39	5.86	6.39	4.37	4.77	5.87	4.92	4.34	4.56	4.38	5.81	Med19	chr2	protein_coding	mediator complex subunit 19
ENSMUSG00000055015.5	1.26	0.38	0.56	0.34	0.3	0.61	0.47	0.28	0.3	0.45	0.29	Gm9961	chr16	protein_coding	predicted gene 9961
ENSMUSG00000028332.11	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	Hemgn	chr4	protein_coding	hemogen
ENSMUSG00000106115.1	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.0	RP23-50I16.3	chr5	TEC	--
ENSMUSG00000106933.1	0.02	0.04	0.05	0.02	0.0	0.0	0.04	0.0	0.0	0.02	0.0	RP23-454A14.10	chr2	TEC	--
ENSMUSG00000083015.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	Gm16518	chr11	processed_pseudogene	predicted gene, 16518
ENSMUSG00000084230.1	0.0	0.18	0.11	0.1	0.09	0.08	0.0	0.24	0.09	0.07	0.0	Gm14388	chr7	processed_pseudogene	predicted gene 14388
ENSMUSG00000046727.10	36.85	41.52	39.31	33.32	38.41	44.56	34.48	38.16	36.09	33.83	44.73	Cystm1	chr18	protein_coding	cysteine-rich transmembrane module containing 1
ENSMUSG00000041974.9	0.62	1.06	1.18	0.72	1.15	1.33	0.83	1.11	0.93	1.2	0.97	Spidr	chr16	protein_coding	scaffolding protein involved in DNA repair
ENSMUSG00000029617.10	10.7	13.79	11.52	11.35	10.77	11.26	12.68	12.27	11.27	9.65	10.42	Ccz1	chr5	protein_coding	CCZ1 vacuolar protein trafficking and biogenesis associated
ENSMUSG00000087302.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	Sox5os1	chr6	antisense	SRY (sex determining region Y)-box 5, opposite strand 1
ENSMUSG00000046897.14	7.88	8.86	8.62	6.05	6.24	6.33	8.37	10.33	6.02	6.87	7.22	Zfp740	chr15	protein_coding	zinc finger protein 740
ENSMUSG00000035798.11	4.42	4.98	5.44	4.82	4.2	4.38	4.61	5.64	4.03	5.15	4.75	Zdhhc17	chr10	protein_coding	zinc finger, DHHC domain containing 17
ENSMUSG00000093277.1	0.36	0.0	0.0	0.0	0.0	0.27	0.0	0.28	0.0	0.0	0.0	Gm26236	chr2	snoRNA	predicted gene, 26236
ENSMUSG00000099244.1	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	Gm27542	chr6	misc_RNA	predicted gene, 27542
ENSMUSG00000041762.14	2.16	3.07	3.08	3.84	2.15	2.51	3.53	2.97	2.59	3.07	2.34	Gpr155	chr2	protein_coding	G protein-coupled receptor 155
ENSMUSG00000017652.14	0.74	1.11	0.94	0.66	1.32	0.9	0.46	0.57	0.69	1.05	1.04	Cd40	chr2	protein_coding	CD40 antigen
ENSMUSG00000051107.4	10.45	7.82	7.72	9.83	9.14	8.11	10.06	8.19	11.02	10.63	8.37	Gm15440	chr13	protein_coding	predicted gene 15440
ENSMUSG00000105096.1	0.06	0.44	0.36	0.25	0.3	0.19	0.38	0.77	0.14	0.04	0.25	Gbp10	chr5	protein_coding	guanylate-binding protein 10
ENSMUSG00000040025.15	3.83	4.28	3.63	3.43	3.13	3.61	4.36	4.32	3.02	3.19	3.55	Ythdf2	chr4	protein_coding	YTH domain family 2
ENSMUSG00000029757.14	0.0	0.0	0.0	0.02	0.01	0.0	0.06	0.0	0.09	0.0	0.01	Dync1i1	chr6	protein_coding	dynein cytoplasmic 1 intermediate chain 1
ENSMUSG00000021275.13	1.5	1.67	1.64	1.44	0.98	1.21	1.78	1.55	1.31	1.22	1.3	Tecpr2	chr12	protein_coding	tectonin beta-propeller repeat containing 2
ENSMUSG00000004099.13	3.03	3.18	3.24	2.83	2.69	2.73	3.1	2.83	3.38	2.96	3.07	Dnmt1	chr9	protein_coding	DNA methyltransferase (cytosine-5) 1
ENSMUSG00000088891.1	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	Gm22516	chr2	snoRNA	predicted gene, 22516
ENSMUSG00000013653.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1810065E05Rik	chr11	protein_coding	RIKEN cDNA 1810065E05 gene
ENSMUSG00000084007.3	0.1	0.0	0.0	0.0	0.0	0.0	0.27	0.08	0.0	0.07	0.0	Gm9003	chrX	processed_pseudogene	predicted pseudogene 9003
ENSMUSG00000021565.14	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.02	0.01	Slc6a19	chr13	protein_coding	solute carrier family 6 (neurotransmitter transporter), member 19
ENSMUSG00000040258.6	0.35	0.33	0.21	0.52	0.29	0.26	0.36	0.16	0.25	0.23	0.46	Nxph4	chr10	protein_coding	neurexophilin 4
ENSMUSG00000078716.7	3.52	4.61	4.78	4.76	4.17	3.76	5.09	4.11	6.03	4.87	4.91	Tmem8b	chr4	protein_coding	transmembrane protein 8B
ENSMUSG00000019297.8	3.56	4.2	3.38	3.46	2.77	3.31	4.02	3.02	3.12	3.13	3.24	Nop9	chr14	protein_coding	NOP9 nucleolar protein
ENSMUSG00000086145.1	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	Gm15479	chr1	sense_intronic	predicted gene 15479
ENSMUSG00000018451.6	0.1	0.03	0.24	0.15	0.22	0.22	0.11	0.64	0.69	0.38	0.08	6330403K07Rik	chr11	lincRNA	RIKEN cDNA 6330403K07 gene
ENSMUSG00000022452.12	177.1	160.81	148.38	130.41	155.84	147.69	149.07	158.59	161.63	142.63	161.33	Smdt1	chr15	protein_coding	single-pass membrane protein with aspartate rich tail 1
ENSMUSG00000049436.4	0.08	0.12	0.26	0.26	0.14	0.25	0.05	0.22	0.42	0.24	0.0	Upk1b	chr16	protein_coding	uroplakin 1B
ENSMUSG00000104164.1	0.07	0.01	0.02	0.02	0.03	0.0	0.02	0.05	0.01	0.01	0.01	Gm38248	chr1	TEC	predicted gene, 38248
ENSMUSG00000059455.2	0.13	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.05	0.09	0.05	Plac8l1	chr18	protein_coding	PLAC8-like 1
ENSMUSG00000027792.9	2.07	3.29	2.65	3.42	1.96	2.29	3.43	2.46	2.66	2.6	2.72	Bche	chr3	protein_coding	butyrylcholinesterase
ENSMUSG00000020877.9	9.54	6.87	7.61	6.67	7.51	6.5	7.65	6.94	9.68	8.55	6.87	Scrn2	chr11	protein_coding	secernin 2
ENSMUSG00000081775.1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.04	Gm12420	chr4	processed_pseudogene	predicted gene 12420
ENSMUSG00000051853.8	8.53	11.17	10.2	7.83	8.08	9.98	9.97	9.23	10.04	8.66	9.68	Arf3	chr15	protein_coding	ADP-ribosylation factor 3
ENSMUSG00000040713.10	41.85	56.92	59.87	44.44	49.54	52.04	52.2	57.64	40.83	49.85	47.25	Creg1	chr1	protein_coding	cellular repressor of E1A-stimulated genes 1
ENSMUSG00000082678.1	0.0	0.03	0.0	0.03	0.03	0.0	0.0	0.03	0.0	0.0	0.03	Gm12818	chr4	processed_pseudogene	predicted gene 12818
ENSMUSG00000041523.2	0.06	0.05	0.06	0.05	0.0	0.0	0.1	0.0	0.38	0.04	0.18	Upk2	chr9	protein_coding	uroplakin 2
ENSMUSG00000055817.15	3.11	3.73	4.24	4.09	3.87	3.38	4.23	4.64	4.26	3.55	4.08	Mta3	chr17	protein_coding	metastasis associated 3
ENSMUSG00000004961.6	0.31	0.29	0.15	0.21	0.54	0.3	0.15	0.04	0.26	0.36	0.28	Syt5	chr7	protein_coding	synaptotagmin V
ENSMUSG00000044645.7	0.11	0.06	0.04	0.07	0.3	0.27	0.06	0.23	0.24	0.29	0.21	Gm7334	chr17	protein_coding	predicted gene 7334
ENSMUSG00000104018.1	0.23	0.0	0.0	0.03	0.0	0.07	0.03	0.13	0.14	0.07	0.03	4833412K13Rik	chr1	TEC	RIKEN cDNA 4833412K13 gene
ENSMUSG00000105691.1	0.02	0.03	0.0	0.01	0.0	0.02	0.01	0.01	0.0	0.0	0.0	RP23-447N11.5	chr3	TEC	--
ENSMUSG00000015474.14	7.15	5.71	4.99	5.58	4.31	5.11	6.35	5.55	5.61	4.53	5.33	Ppt2	chr17	protein_coding	palmitoyl-protein thioesterase 2
ENSMUSG00000038000.9	6.44	4.84	5.99	4.57	4.81	4.98	7.1	4.74	6.01	5.07	5.71	Acd	chr8	protein_coding	adrenocortical dysplasia
ENSMUSG00000098754.5	1.26	0.79	0.81	0.99	1.1	1.0	0.52	0.42	1.55	1.04	2.21	Gm28045	chr2	protein_coding	predicted gene, 28045
ENSMUSG00000106550.1	0.11	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RP24-445M20.2	chr3	processed_transcript	--
ENSMUSG00000081094.3	3.78	3.46	4.46	3.22	2.06	4.07	3.39	3.95	5.18	3.24	3.03	Rpl19-ps11	chr8	processed_pseudogene	ribosomal protein L19, pseudogene 11
ENSMUSG00000088913.1	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	Gm22611	chr11	snRNA	predicted gene, 22611
ENSMUSG00000035914.8	0.66	0.83	1.05	1.06	0.83	0.52	1.1	0.58	1.27	1.03	1.09	Cd276	chr9	protein_coding	CD276 antigen
ENSMUSG00000083678.3	0.54	0.29	0.56	0.44	0.67	0.3	0.7	0.21	0.17	0.19	0.33	Gm12989	chr4	processed_pseudogene	predicted gene 12989
ENSMUSG00000090675.1	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	Olfr111	chr17	protein_coding	olfactory receptor 111
ENSMUSG00000038357.10	0.0	0.06	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.05	Camp	chr9	protein_coding	cathelicidin antimicrobial peptide
ENSMUSG00000079641.3	276.65	143.99	141.01	233.51	163.1	159.42	203.05	151.98	249.2	159.56	165.53	Rpl39	chrX	protein_coding	ribosomal protein L39
ENSMUSG00000022674.12	1.57	1.81	2.04	1.64	1.47	1.96	1.84	1.99	1.42	1.79	1.84	Ube2v2	chr16	protein_coding	ubiquitin-conjugating enzyme E2 variant 2
ENSMUSG00000053263.3	0.55	1.61	1.12	0.78	0.86	0.7	0.61	1.48	0.99	0.76	0.65	Gm12592	chr11	processed_transcript	predicted gene 12592
ENSMUSG00000086746.1	0.0	0.37	0.0	0.13	0.0	0.0	0.12	0.22	0.12	0.1	0.0	Gm15222	chr14	antisense	predicted gene 15222
ENSMUSG00000056487.8	0.03	0.0	0.0	0.0	0.02	0.02	0.02	0.02	0.05	0.0	0.0	Mettl7a2	chr15	protein_coding	methyltransferase like 7A2
ENSMUSG00000064340.1	899.95	1506.97	1533.56	889.62	1037.45	862.29	1156.78	1262.65	875.02	846.84	750.22	mt-Tl1	chrM	Mt_tRNA	mitochondrially encoded tRNA leucine 1
ENSMUSG00000086578.2	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm13583	chr2	antisense	predicted gene 13583
ENSMUSG00000023932.8	9.27	10.33	10.61	9.56	9.81	11.75	11.33	11.52	11.52	10.02	11.57	Cdc5l	chr17	protein_coding	cell division cycle 5-like (S. pombe)
ENSMUSG00000087107.5	0.31	1.18	1.0	0.49	1.12	1.19	0.63	0.99	0.43	0.77	0.76	AI662270	chr11	lincRNA	expressed sequence AI662270
ENSMUSG00000047141.4	1.66	2.15	1.94	1.96	1.62	1.79	2.64	2.61	1.29	1.9	1.88	Zfp654	chr16	protein_coding	zinc finger protein 654
ENSMUSG00000097174.1	0.16	0.13	0.1	0.04	0.08	0.03	0.17	0.08	0.13	0.11	0.14	Gm4890	chr8	lincRNA	predicted gene 4890
ENSMUSG00000030522.12	4.46	5.31	4.7	3.0	3.11	2.96	3.02	3.81	2.58	3.78	2.94	Mtmr10	chr7	protein_coding	myotubularin related protein 10
ENSMUSG00000032415.12	0.22	0.45	0.65	0.49	0.32	0.41	0.29	0.69	0.51	0.33	0.49	Ube2cbp	chr9	protein_coding	ubiquitin-conjugating enzyme E2C binding protein
ENSMUSG00000025041.14	5.91	6.23	6.0	6.8	5.89	6.14	6.64	4.69	6.63	5.49	7.18	Nt5c2	chr19	protein_coding	5'-nucleotidase, cytosolic II
ENSMUSG00000039384.8	1.27	1.33	1.69	2.84	5.35	2.03	2.22	1.52	4.4	5.65	2.58	Dusp10	chr1	protein_coding	dual specificity phosphatase 10
ENSMUSG00000028788.12	47.97	56.65	55.01	58.76	50.21	51.31	58.95	57.93	52.08	55.72	58.23	Ptp4a2	chr4	protein_coding	protein tyrosine phosphatase 4a2
ENSMUSG00000027884.14	6.68	7.76	7.92	6.1	6.8	7.85	7.66	9.04	6.18	6.56	7.57	Clcc1	chr3	protein_coding	chloride channel CLIC-like 1
ENSMUSG00000039585.13	1.21	1.39	1.2	1.62	1.4	1.25	1.52	1.55	1.5	1.39	1.08	Myo9a	chr9	protein_coding	myosin IXa
ENSMUSG00000031229.14	4.24	4.31	4.32	4.75	3.23	3.58	5.1	4.73	4.1	4.67	3.34	Atrx	chrX	protein_coding	alpha thalassemia/mental retardation syndrome X-linked homolog (human)
ENSMUSG00000049305.6	4.71	5.72	5.44	4.52	3.26	4.74	6.33	5.49	4.77	4.15	4.55	Ccdc71	chr9	protein_coding	coiled-coil domain containing 71
ENSMUSG00000044216.6	0.23	0.1	0.14	0.28	0.11	0.24	0.5	0.14	0.17	0.13	0.21	Kcnj4	chr15	protein_coding	potassium inwardly-rectifying channel, subfamily J, member 4
ENSMUSG00000002733.8	7.8	9.78	9.05	6.36	6.87	7.06	7.42	7.3	6.89	7.77	8.24	Plekha3	chr2	protein_coding	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3
ENSMUSG00000011158.7	8.88	8.58	7.9	7.63	7.69	7.57	9.57	8.1	8.47	7.63	7.39	Brf1	chr12	protein_coding	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)
ENSMUSG00000095690.1	0.75	0.26	0.77	0.7	0.31	1.01	1.3	1.05	0.57	0.54	0.49	Rab11b-ps2	chr19	processed_pseudogene	RAB11B, member RAS oncogene family, pseudogene 2
ENSMUSG00000035726.7	3.03	4.44	3.83	3.36	3.31	3.87	4.18	4.63	4.84	4.45	3.99	Supt16	chr14	protein_coding	suppressor of Ty 16
ENSMUSG00000015016.7	11.67	10.72	10.25	12.14	9.49	8.66	13.83	11.04	12.65	10.39	10.18	Acsf3	chr8	protein_coding	acyl-CoA synthetase family member 3
ENSMUSG00000097360.5	0.09	0.0	0.23	0.09	0.08	0.1	0.16	0.0	0.15	0.0	0.07	9430065F17Rik	chr13	lincRNA	RIKEN cDNA 9430065F17 gene
ENSMUSG00000082841.1	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.09	0.0	0.0	Gm12994	chr4	processed_pseudogene	predicted gene 12994
ENSMUSG00000062202.11	1.52	2.02	2.0	1.66	1.75	1.55	2.23	2.18	3.38	2.07	2.01	Btbd9	chr17	protein_coding	BTB (POZ) domain containing 9
ENSMUSG00000027386.7	0.05	0.1	0.28	0.06	0.08	0.21	0.11	0.07	0.24	0.15	0.22	Fbln7	chr2	protein_coding	fibulin 7
ENSMUSG00000013089.13	3.45	4.48	3.51	4.15	3.25	3.89	2.77	3.29	4.54	5.4	3.49	Etv5	chr16	protein_coding	ets variant 5
ENSMUSG00000102143.1	0.15	0.03	0.11	0.13	0.03	0.03	0.09	0.07	0.0	0.08	0.06	Gm38057	chr9	TEC	predicted gene, 38057
ENSMUSG00000000884.14	0.83	0.79	0.94	0.75	0.7	0.59	0.79	0.71	0.8	0.68	1.0	Gnb1l	chr16	protein_coding	guanine nucleotide binding protein (G protein), beta polypeptide 1-like
ENSMUSG00000002660.7	53.76	44.12	41.94	40.4	41.74	41.03	45.34	45.73	49.58	37.34	43.68	Clpp	chr17	protein_coding	caseinolytic mitochondrial matrix peptidase proteolytic subunit
ENSMUSG00000019774.8	3.16	4.06	4.05	3.8	3.49	3.8	4.54	4.86	4.09	4.01	4.04	Mtrf1l	chr10	protein_coding	mitochondrial translational release factor 1-like
ENSMUSG00000085523.1	0.0	0.0	0.06	0.0	0.0	0.09	0.05	0.0	0.05	0.0	0.0	Gm15945	chr15	antisense	predicted gene 15945
ENSMUSG00000020277.9	38.12	35.63	32.91	37.98	29.2	31.44	40.93	30.84	39.48	34.85	33.91	Pfkl	chr10	protein_coding	phosphofructokinase, liver, B-type
ENSMUSG00000102770.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm38163	chr9	sense_intronic	predicted gene, 38163
ENSMUSG00000107029.1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	RP23-423A22.3	chr5	TEC	--
ENSMUSG00000024581.10	4.8	5.42	5.17	4.46	4.13	4.46	5.19	5.16	4.31	5.31	5.01	Napg	chr18	protein_coding	N-ethylmaleimide sensitive fusion protein attachment protein gamma
ENSMUSG00000045709.10	0.05	0.05	0.23	0.1	0.05	0.04	0.14	0.13	0.18	0.16	0.0	Smkr-ps	chr6	lincRNA	smal lysine rich protein 1, pseudogene
ENSMUSG00000064493.1	4.66	5.3	6.8	6.54	6.14	6.11	3.03	6.95	4.88	6.66	5.39	Snora28	chr12	snoRNA	small nucleolar RNA, H/ACA box 28
ENSMUSG00000028756.10	248.6	238.64	253.12	246.07	262.78	233.35	251.73	277.05	297.31	263.32	243.94	Pink1	chr4	protein_coding	PTEN induced putative kinase 1
ENSMUSG00000082001.3	0.14	0.35	0.0	0.0	0.0	0.0	0.24	0.11	0.0	0.0	0.0	Gm15607	chr5	processed_pseudogene	predicted gene 15607
ENSMUSG00000024283.12	7.01	9.15	8.18	8.67	8.04	8.41	8.73	9.16	8.71	8.56	8.35	Wac	chr18	protein_coding	WW domain containing adaptor with coiled-coil
ENSMUSG00000038453.13	0.07	0.04	0.06	0.09	0.09	0.07	0.06	0.05	0.17	0.11	0.06	Srcin1	chr11	protein_coding	SRC kinase signaling inhibitor 1
ENSMUSG00000085336.1	0.91	0.87	0.47	0.74	0.54	0.45	0.71	0.68	0.47	0.47	0.62	Gm11732	chr11	processed_transcript	predicted gene 11732
ENSMUSG00000022952.14	0.15	0.26	0.22	0.44	0.54	0.42	0.26	0.39	0.47	0.37	0.4	Runx1	chr16	protein_coding	runt related transcription factor 1
ENSMUSG00000101799.1	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.02	0.02	0.01	0.0	9330175M20Rik	chr1	antisense	RIKEN cDNA 9330175M20 gene
ENSMUSG00000045319.11	1.5	2.35	1.66	0.97	1.57	1.57	1.54	1.4	1.37	0.97	1.25	Proser2	chr2	protein_coding	proline and serine rich 2
ENSMUSG00000026354.8	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.0	Lct	chr1	protein_coding	lactase
ENSMUSG00000020432.10	24.38	25.09	19.79	17.0	20.85	24.13	19.1	22.28	18.93	21.87	18.68	Tcn2	chr11	protein_coding	transcobalamin 2
ENSMUSG00000024427.6	3.74	4.92	4.28	4.34	7.23	8.32	3.11	3.37	4.61	8.53	6.7	Spry4	chr18	protein_coding	sprouty homolog 4 (Drosophila)
ENSMUSG00000024044.13	1.36	1.6	1.41	1.49	1.48	1.12	1.8	1.34	1.78	1.78	1.28	Epb4.1l3	chr17	protein_coding	erythrocyte protein band 4.1 like 3
